"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18570","TC-INQ-08 - Advanced search - search by Description","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6743","IA_WTC12 - Inventory Adjustment History no-record behavior","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8033","TC-SAI-04 - Search by Zip Code","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7692","TC-SAI-12 - Grid pagination","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","62699","PCA_WTC06 - Find success flow for Event, Batch, and SKU","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6868","TC-LR-17 - View invalid/non-existent Planogram","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","10929","OR_UI_044 - Load Worksheets UI controls and default grid","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7706","TC-SAI-02 - Search by Store Number","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","22109","TC-INQ-10 - Advanced search - Include/Exclude Clearance Items","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7182","OR_UI_001 - Load Purchase Orders page and identify all top-level controls","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","11490","TC-UM-03 - Filter with no matching results","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","14320","TC-INQ-09 - Advanced search - Vendor Name requires Department","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7541","TC-LR-16 - View valid Planogram","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","11747","OR_UI_007 - Expand hierarchy and sort columns","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7103","TC-INQ-23 - Item with no planogram data","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","4087","TC-SAI-01 - Load Store Address Inquiry screen","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7649","TC-INQ-14 - Item Details - verify Planogram table","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","5935","TC-INQ-06 - Search with alphanumeric input in SKU field","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","10484","TC-SAI-14 - Combined multi-field search","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","14639","TC-INQ-11 - Advanced search - no results found","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8344","TC-INQ-02 - Search item by valid SKU","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","10997","TC-SAI-10 - Grid filter/search within results","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","18668","OR_UI_003 - Filter by valid criteria and reset","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","18727","OR_UI_004 - Filter with empty criteria","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","12995","PCA_WTC02 - Expand/collapse Event -> Batch -> Item hierarchy","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","163261","REG_UI_067 - Verify all pages are loading properly","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","13035","PCA_WTC03 - Sort columns and verify value formatting","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7675","TC-INQ-16 - Item Details - verify Vendor table","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8769","TC-INQ-03 - Search item by valid UPC","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6912","TC-UM-04 - Sort grid columns","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
