"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4760","AL_WTC06 - Sort column headers and verify sort behavior","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","5762","AL_WTC05 - No Application Alerts","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","5023","AL_WTC09 - Close and reopen Application Alerts tab","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","9124","AL_WTC04 - Application Alerts boundary and stress behavior","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","10616","AL_WTC03 - Offline behavior on alerts load","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","4154","AL_WTC07 - Page size dropdown options and selection","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","9095","AL_WTC08 - Filter result synchronized with paginator label","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","9140","AL_WTC02 - Filter alerts and verify empty result behavior","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","8955","AL_WTC10 - Application Alerts coexists with other open tabs","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
"","5523","AL_WTC01 - Load alerts grid and validate columns","chromium","2026-05-15","passed","2026-05-15","Application Alerts","","",""
