"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120005","DU_TC_WTC03 - Clicking Enter with empty lock key on Time Clock - no submission","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","120004","DU_TC_WTC05 - Edge boundary: long input string, rapid Enter clicks, button states across 3 pages","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","512","DU_TC_WTC04 - Offline mode: Time Clock page remains stable","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","540","DU_ERL_WTC04 - Offline mode: Enable RF Load page remains stable","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","120004","DU_ERL_WTC02 - Verify panel heading, h5, description and field labels on Enable RF Load","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","120003","DU_DRL_WTC02 - Verify panel heading, h5, description and field labels on Disable RF Load","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","120007","DU_ERL_WTC03 - Clicking Enter with empty lock key on Enable RF Load - no submission","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","15824","DU_DRL_WTC01 - Load Disable RF Load page and verify lock number 70606","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","15841","DU_ERL_WTC01 - Load Enable RF Load page and verify lock number 6803","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","523","DU_DRL_WTC04 - Offline mode: Disable RF Load page remains stable","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","16874","DU_ERL_WTC05 - Keyboard Enter key in input field on Enable RF Load keeps page stable","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","16833","DU_DRL_WTC05 - Keyboard Enter key in input field on Disable RF Load keeps page stable","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
"","120004","DU_DRL_WTC03 - Clicking Enter with empty lock key on Disable RF Load - no submission","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","120003","DU_TC_WTC02 - Verify panel heading, h5, description and field labels on Time Clock","chromium","2026-05-15","broken","2026-05-15","Deployment Utilities","","",""
"","15844","DU_TC_WTC01 - Load Time Clock page and verify lock number 61810","chromium","2026-05-15","failed","2026-05-15","Deployment Utilities","","",""
