"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6838","DR_WTC19 - Seasonal Overstock Location Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","3720","DR_WTC14 - Override Day: Page stable; config flags respected; HTTP failure shows error","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6840","DR_WTC21 - SISO List Item Detail Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","9325","DR_WTC06 - Overstock Reset: Reset Overstock succeeds with valid selection","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6850","DR_WTC22 - Pull List Item Detail Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","7036","DR_WTC05 - Overstock Reset: Location dropdown loads; selecting location loads location numbers","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6823","DR_WTC20 - SISO List Completion Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6287","DR_WTC10 - Overstock Transfer: Move blocked for identical source and target ranges","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6893","DR_WTC24 - Audit Completion Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","10169","DR_WTC03 - Overstock Label Printing: Validation blocks invalid input; Reset clears criteria","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","5740","DR_WTC04 - Overstock Label Printing: Delete and Print blocked when no row selected","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","7839","DR_WTC34 - Overstock Item List Report: Print without selecting criteria keeps page stable","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","8669","DR_WTC12 - Override Truck Day: Submit shows confirmation; Yes produces outcome message","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","8262","DR_WTC27 - Auto-load Reports: Page stable during network outage; recovers after reconnect","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","5308","DR_WTC30 - Override Truck/Inventory Day: Verify ""Reason for override"" label, date display and radio labels","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6836","DR_WTC23 - SISO List Completion History Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6896","DR_WTC26 - Audit Completion History Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","4790","DR_WTC07 - Overstock Reset: Reset blocked without location number; Clear resets selections","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","17903","DR_WTC02 - Overstock Label Printing: Add rows, delete selected, print labels","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","16474","DR_WTC01 - Overstock Label Printing: UI loads with location dropdown, grid, and action buttons","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6846","DR_WTC15 - Replenishment Threshold Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","5020","DR_WTC29 - Overstock Item List Report: Invalid/missing criteria blocked with validation message","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6813","DR_WTC16 - HINO Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","6872","DR_WTC25 - Audit Item Details Report: Auto-generates on load","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","11298","DR_WTC28 - Overstock Item List Report: View and Print with valid criteria succeed","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","3737","DR_WTC11 - Overstock Transfer: Move blocked when destination already has items","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
"","5106","DR_WTC08 - Overstock Transfer: Transfer Location dropdown controlled by Existing criteria","chromium","2026-05-15","passed","2026-05-15","Direct Replenishment (SISO/DR)","","",""
