"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","EBF_IMC_WTC04 - Describe Issue text area accepts multi-line input and clears/resets","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_COW_WTC04 - Reason Code dropdown has all 4 options and each is selectable","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_IMC_WTC02 - Select issue type checkboxes independently","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_COW_WTC05 - Reset Form clears all Cashier Override Worksheet fields","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_AUR_WTC03 - Add contacts to Additions/All Current list and verify grid","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_IMC_WTC01 - Load Inventory Mgmt Communique and validate general info","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_AUR_WTC05 - Add to Deletions section and verify Please Read info box and buttons","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_COW_WTC03 - Remove Item From List without selection - no row deleted","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_AUR_WTC01 - Load Alarm Update Form and validate general info section","chromium","2026-05-21","broken","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_COW_WTC01 - Load Cashier Override Worksheet and validate all sections","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_IMC_WTC03 - Add items to SKU/UPC grid and verify headers; remove without selection","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_IMC_WTC05 - Reset Form clears all Inventory Mgmt Communique state","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_AUR_WTC04 - Remove From List without selection - no row deleted","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_PBF_WTC01 - Load Printable Business Forms and validate page structure","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_AUR_WTC02 - Select alarm company type - ADT, Vector, Other radio buttons","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","1","EBF_COW_WTC02 - Fill item info fields and add item to Items On List","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
"","0","EBF_AUR_WTC06 - Reset Form clears all inputs and grids; Send Email triggers request","chromium","2026-05-21","skipped","2026-05-21","Electronic Business Forms","","",""
