"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11222","GS_WTC10 - All list type variants can be selected without errors","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","21734","TC-GSB-04 (Delete) - Delete selected SKU row with confirmation dialog","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","7632","GS_WTC06 - Add item using UPC barcode and verify item loads correctly","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","9165","GS_WTC02 - Add valid SKU with quantity/reference and verify inline edit","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","16499","GS_WTC03 - Validate invalid SKU error and duplicate SKU prevention","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","8262","GS_WTC01 - Load Generic SKU Builder controls and verify all UI elements","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","14985","GS_WTC09 - Grid filter narrows results and clearing filter restores all rows","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","30090","GS_WTC04 - Finalize workflow: dialog, confirm/print, no-records guard","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","20559","TC-GSB-04 (Clear) - Clear all SKUs with confirmation dialog","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","6963","GS_WTC07 - Guard messages when Delete and Clear are clicked on empty grid","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","9045","GS_WTC08 - Standalone Print: no-category guard, dialog options, and cancel","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
"","7129","GS_WTC05 - Verify threshold quantity warning for over-max quantity","chromium","2026-05-15","passed","2026-05-15","Generic SKU List Builder","","",""
