"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7559","IA_WTC13 - Outbound Transfer: action buttons, grid columns, filter, sort, and paginator","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","17860","IA_WTC16 - Cross module resilience: session expiry redirects to Login, offline graceful failure, and recovery","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","17064","IA_WTC15 - Transfer negatives: finalize-no-selection, finalize-no-items, delete-finalized, print-not-finalized, invalid SKU","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","5294","IA_WTC09 - NOH: update quantity, print, and verify history","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","90010","IA_WTC18 - IA History: text filter narrows records, clear restores all, column header sort works","chromium","2026-05-15","broken","2026-05-15","Inventory Adjustments","","",""
"","7182","IA_WTC05 - QOH Validation: action buttons, grid columns, inline edit, filter, and paginator","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","12128","IA_WTC17 - RTV Print Worksheet: button visible, no-selection validation, with-selection attempt","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","10789","IA_WTC06 - QOH: update quantity, handle warning, delete row, print, and view history","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","5562","IA_WTC12 - IA History no-record: banner message, apply filter, clear filter","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","9112","IA_WTC02 - RTV: Create new worksheet, add item, finalize, and print slip","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","5580","IA_WTC04 - RTV Item: blank SKU, invalid SKU, restricted adds, qty threshold validations","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","7086","IA_WTC01 - RTV summary page: action buttons, panels, grid columns, filter, and paginator","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","14853","IA_WTC03 - RTV negatives: RA# required, print-not-finalized, delete blocked, finalize blocked","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","6730","IA_WTC19 - Transfer View/Edit: button visible, no-selection shows message, with-selection opens transfer items","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","5664","IA_WTC07 - QOH negatives: delete-no-selection, same-QOH value, invalid qty, print-no-worksheets","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","90003","IA_WTC11 - Inventory Adjustment History: grid columns, read-only, filter, sort, and pagination","chromium","2026-05-15","broken","2026-05-15","Inventory Adjustments","","",""
"","5258","IA_WTC08 - NOH Validation: History and Print buttons, grid columns, filter, sort, and paginator","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","5343","IA_WTC10 - NOH negatives: no-editable-rows message, invalid qty, over-max, over-warning threshold","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
"","12369","IA_WTC14 - Outbound Transfer: create, add item, finalize, verify status, and print","chromium","2026-05-15","passed","2026-05-15","Inventory Adjustments","","",""
