"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6538","TC-INQ-19 - POS Error dialog appears when POS system is unavailable","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","18779","TC-INQ-14 - Item Details shows Planogram table with correct columns","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","1256","TC-INQ-06 - Alphanumeric characters are rejected in SKU/UPC input field","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3550","TC-INQ-18 - Item Details shows prices in $XX.XX format","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","2517","TC-INQ-20 - Offline mode shows error; reconnect allows successful search","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4904","TC-INQ-22 - Pressing Enter in SKU field triggers search same as Find button","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","2464","TC-INQ-09 - Searching by Vendor Name without Department shows error","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4260","TC-INQ-02 - Search item by valid SKU and verify all detail panels","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","9099","TC-INQ-10 - Clearance items filter changes search results","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","2728","TC-INQ-11 - Advanced search with no-match description shows no results error","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","2834","TC-INQ-15 - Item Details shows Promotions table with Event No, Start Date, End Date","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","6532","TC-INQ-25 - Vendor Sku No field is visible, accepts input, and triggers a search response","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","5771","TC-INQ-08 - Advanced search by Description returns matching items list","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","6423","TC-INQ-27 - Advanced search combining Description and Department returns results or appropriate message","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3139","TC-INQ-07 - Reset button clears all search fields and restores checkboxes","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3983","TC-INQ-23 - Item with no planogram data shows empty planogram table","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3983","TC-INQ-17 - Item Details shows Assortment and Overstock panels","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","10105","TC-INQ-12 - Clicking a row in Item Results list opens Item Details page","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","2066","TC-INQ-04 - Search with invalid SKU shows not-found error","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","24082","TC-INQ-29 - Closing the Item Search tab removes it from the tab bar","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4589","TC-INQ-28 - Item Details shows On Hand, On Order quantities and Department information","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","749","TC-INQ-05 - Search with empty input shows validation error","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4454","TC-INQ-01 - Load Item Inquiry screen and verify all UI elements","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4835","TC-INQ-03 - Search item by valid UPC using Enter key","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","8963","TC-INQ-26 - Include Do Not Order Items checkbox changes search results","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","1944","TC-INQ-21 - Spinner or loading indicator appears during search and disappears on load","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","4045","TC-INQ-13 - Item Details shows Sales History table with correct columns","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3971","TC-INQ-24 - Item with no sales history shows empty sales history panel","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","6438","TC-INQ-30 - SKU/UPC input field enforces maxlength of 15 characters","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
"","3992","TC-INQ-16 - Item Details shows Vendor table with Number, Name, Primary columns","chromium","2026-05-15","passed","2026-05-15","Item Inquiry","","",""
