"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6035","TC-LR-42 - Merchandise Labels: Delete Merchandise label from grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6387","TC-LR-01 - Label Request Navigation: switch between sub-tabs","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","10753","TC-LR-51 - Label Request: Large quantity add to User Requested grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7124","TC-LR-36 - Price Point Labels: Clear price point list","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3431","TC-LR-32 - Price Point Labels: Load Price Point Labels page","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7567","TC-LR-19 - Planogram Label Request: Select Lines by range","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","1933","TC-LR-02 - User Requested Labels: page UI elements visible","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","12090","TC-LR-48 - Label Stock Verification: Close Label Stock Verification with unprinted labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3145","TC-LR-26 - Mass Labels: Load Mass Labels page","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4021","TC-LR-30 - Mass Labels: Select Non Go Forward with zero labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","10501","TC-LR-24 - Item Maintenance Labels: Print Item Maintenance labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","5028","TC-LR-49 - Label Request: Offline - Label Request unavailable","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","9036","TC-LR-12 - User Requested Labels: Cancel print job","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","9674","TC-LR-25 - Item Maintenance Labels: Print with empty grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4901","TC-LR-34 - Price Point Labels: Add with invalid price (non-numeric)","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7267","TC-LR-11 - User Requested Labels: Print labels - User selection popup","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6577","TC-LR-10 - User Requested Labels: Clear all items from grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","8003","TC-LR-37 - Price Point Labels: Delete selected price point row","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3528","TC-LR-39 - Merchandise Labels: Load Merchandise Labels page","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6088","TC-LR-07 - User Requested Labels: Edit Quantity inline in grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4534","TC-LR-52 - Label Request: Flex label behavior in User Requested Labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7831","TC-LR-38 - Price Point Labels: Print price point labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","2643","TC-LR-09 - User Requested Labels: Delete without row selected","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","8883","TC-LR-23 - Item Maintenance Labels: Filter by Reason","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3735","TC-LR-03 - User Requested Labels: Find valid SKU/UPC","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6370","TC-LR-06 - User Requested Labels: Add valid item to grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4379","TC-LR-18 - Planogram Label Request: View Planogram with missing required fields","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","2710","TC-LR-05 - User Requested Labels: Find with empty SKU field","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4551","TC-LR-04 - User Requested Labels: Find invalid SKU/UPC","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3338","TC-LR-15 - Planogram Label Request: Load Planogram Label Request page","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","8774","TC-LR-13 - User Requested Labels: Print All label types","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3559","TC-LR-41 - Merchandise Labels: Find invalid item in Merchandise","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7610","TC-LR-45 - Label Stock Selection: Close without printing all label types","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7733","TC-LR-28 - Mass Labels: Print Mass Labels - confirmation dialog","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","8575","TC-LR-22 - Item Maintenance Labels: Load Item Maintenance Label page","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","8711","TC-LR-14 - Label Stock Selection: Sort By User filter","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","9565","TC-LR-46 - Label Stock Selection: User cancelled print job message","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","11307","TC-LR-08 - User Requested Labels: Delete item from grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3229","TC-LR-29 - Mass Labels: Print Mass Labels - print failure","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7345","TC-LR-21 - Planogram Label Request: Print with no lines selected","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","16410","TC-LR-44 - Label Stock Selection: Verify Label Stock Selection page structure","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4585","TC-LR-31 - Mass Labels: No checkbox selected - Print Mass Labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6600","TC-LR-43 - Merchandise Labels: Print Merchandise labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3898","TC-LR-50 - Label Request: Session timeout during label print flow","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","10021","TC-LR-47 - Label Stock Verification: Verify Label Stock Verification page structure","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","3410","TC-LR-27 - Mass Labels: Select Clearance checkbox and view count","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4873","TC-LR-33 - Price Point Labels: Add a price point entry","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","4856","TC-LR-35 - Price Point Labels: Add with zero or negative quantity","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","6131","TC-LR-16 - Planogram Label Request: View valid Planogram","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","5450","TC-LR-17 - Planogram Label Request: View invalid/non-existent Planogram","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","5136","TC-LR-40 - Merchandise Labels: Find and add item to Merchandise grid","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
"","7990","TC-LR-20 - Planogram Label Request: Print Planogram labels","chromium","2026-05-15","passed","2026-05-15","Label Request","","",""
