"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13255","ITC-DEF-019 - Not Ordered button must open a modal dialog, not a browser prompt","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","7407","ITC-DEF-021 - Receive Without PO grid On Order column must not be blank","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","619","ITC-DEF-016 - PO Receiving Sessions grid must show rows (not remain empty)","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","10514","ITC-DEF-025 - PO finalized via Receive Without PO must be searchable in Purchase Orders","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","10333","ITC-DEF-024 - RWOPO Finalize with zero-quantity row must show a zero-quantity warning dialog","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","11281","ITC-DEF-017 - PO Receive must load item lines (not 0 items) for an open Purchase Order","chromium","2026-05-25","failed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","9692","ITC-DEF-002 - Store Number loads within 1 second on home page (no delayed render)","chromium","2026-05-25","failed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","19698","ITC-DEF-004 - Item Inquiry must display non-zero Regular and Selling prices for a valid SKU","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","6357","ITC-DEF-026 - Worksheets grid header must have consistent background color styling","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","7548","ITC-DEF-039 - Clicking the create user icon must open the Create User form/modal","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","9163","ITC-DEF-018 - Expanded Purchase Order detail row must display a non-blank Cost cell value","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","8204","ITC-DEF-037 - Delete user confirmation dialog must identify the specific user being deleted","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","8348","ITC-DEF-023 - RWOPO Add SKU Select Items modal must open visibly and be properly positioned","chromium","2026-05-25","failed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","11647","ITC-DEF-020 - Receive Without PO finalize must show Print Receiver confirmation dialog","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","41912","ITC-DEF-034 - Store list filter must only show records containing the filter text","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","8273","ITC-DEF-036 - Clicking delete icon on a row must target that row, not the previously selected row","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","244844","ITC-DEF-003 - Item Inquiry must display vendor information table with rows for a valid SKU","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","5334","ITC-DEF-014 - Receive Without PO header PO number must be 8+ digits (not truncated)","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","607","ITC-DEF-001 - Home page ISP Application Version is visible and non-empty","chromium","2026-05-25","failed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","25504","ITC-DEF-022 - RWOPO print request must use the full 8-digit PO number (not truncated)","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","8780","ITC-DEF-027 - Worksheets Add Items must show error message for non-matching SKU search","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","7218","ITC-DEF-013 - Planogram Activation History dates must not contain 12/31/1969","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","23489","ITC-DEF-028 - Inventory Adjustment History date must match API response date (no +1 day shift)","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","7345","ITC-DEF-038 - User Management pagination must correctly split items when page size is changed to 5","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","15276","ITC-DEF-035 - Planogram POG Type shown in UI must match the API response value","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
"","25961","ITC-DEF-015 - PO Receiving Sessions Ordered and Arrived dates must not contain 1969","chromium","2026-05-25","passed","2026-05-25","Intermittent Test Cases - Defect Verification","","",""
