"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6817","OR_WTC26 - Filter Purchase Orders with empty criteria shows validation message","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","7347","OR_WTC51 - Worksheets Approve button triggers approval flow or message","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","6246","OR_WTC45 - RWOPO Delete without selection shows guard; with selection shows confirmation","chromium","2026-05-15","failed","2026-05-15","Order & Receiving","","",""
"","18988","OR_WTC35 - PO Receive ASN row qty edit triggers warning dialog","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","2498","OR_WTC34 - Sessions Receive button state reflects session status and navigates to PO Receive","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","16585","OR_WTC11 - Not Ordered modal: search items, add, duplicate prevention, and zero-quantity guard","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","23114","OR_WTC17 - Filter Purchase Orders by SKU, Vendor Number, and Description criteria","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","9462","OR_WTC05 - Expand PO row hierarchy and verify nested columns; sort columns","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","10703","OR_WTC09 - Load PO Receive page and verify all controls, grid columns, filter, and paginator","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","5452","OR_WTC54 - RWOPO Print report button is visible on the page","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","6831","OR_WTC24 - Receive Without PO: inline quantity exceeding max shows block message; threshold triggers warning prompt","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","3911","OR_WTC55 - Cross-module localization smoke check: PO page labels are present","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","7948","OR_WTC01 - Load Purchase Orders page and verify all top-level controls","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","10099","OR_WTC28 - View Rcvs navigates to sessions page and Print button triggers a response","chromium","2026-05-15","failed","2026-05-15","Order & Receiving","","",""
"","8577","OR_WTC10 - Quantity block/warn validations and fully-received line edit block","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","10651","OR_WTC15 - Worksheets: load all controls, search variants, no-match error, and reset","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","18073","OR_WTC22 - Double-click PO row shows receiving session confirmation dialog; No keeps on page, Yes navigates","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","6484","OR_WTC02 - Actions panel collapse and expand behavior","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","23304","OR_WTC06 - Receive flow with Artistree blocking, View Rcvs navigation, Print, and Cancel validations","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","6733","OR_WTC47 - RWOPO Finalize shows success message or print receiver modal","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","2069","OR_WTC42 - Finalize PO Receive with open items shows a prompt or guard message","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","19518","OR_WTC37 - Fully received PO line is not editable","chromium","2026-05-15","passed","2026-05-15","Order & Receiving","","",""
"","6646","OR_WTC30 - Cancel PO without selection shows guard message","chromium","2026-05-15","failed","2026-05-15","Order & Receiving","","",""
