"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22709","PLN_WTC10 - Validate Activation and Deactivation stay as separate flows","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8554","PLN_WTC06 - De-Activation screen UI walkthrough (consolidated)","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","4321","PLN_WTC08 - Business/E2E: Deactivate records and verify in Deactivation History","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","6426","PLN_WTC07 - De-Activation negative validations (consolidated)","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8227","PLN_WTC12 - Deactivation History grid columns (no POG Type)","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8505","PLN_WTC09 - Deactivation History no-record behavior","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","9828","PLN_WTC02 - Activation grid key negative validations (consolidated)","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","7551","PLN_WTC14 - Deactivation grid filter with no-match text shows zero rows","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8795","PLN_WTC01 - Activation screen UI walkthrough (consolidated)","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","14754","PLN_WTC05 - Activation service failure/offline resilience","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8122","PLN_WTC11 - Activation History grid columns and records","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","8566","PLN_WTC04 - Activation History no-record behavior","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","6210","PLN_WTC15 - Activation Actions panel collapse and expand","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","4451","PLN_WTC03 - Business/E2E: Pending activation to History verification and Finalize","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","10122","PLN_WTC16 - Activation History grid filter functionality","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
"","7511","PLN_WTC13 - Activation grid filter with no-match text shows zero rows","chromium","2026-05-15","passed","2026-05-15","Planogram","","",""
