"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13482","PCA_WTC22 - Price Change Activation: Find dialog Cancel closes dialog without triggering a search","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","17001","PCA_WTC20 - Price Change Activation: Auth/session and offline behavior for core actions","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","9602","PCA_WTC23 - Price Change Activation: No-events banner shows exact expected message when no events loaded","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","14022","PCA_WTC10 - Price Change Activation: Activation confirmation cancel path","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","12826","PCA_WTC12 - Price Change Activation: Batch-level activation success path","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","28115","PCA_WTC16 - Price Change Activation: Print Worksheet success/failure outcomes","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","10835","PCA_WTC02 - Price Change Activation: Expand/collapse Event-Batch-Item hierarchy","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","30937","PCA_WTC15 - Price Change Activation: Print Worksheet validation checks","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","23920","PCA_WTC08 - Price Change Activation: Activation validation - no selection and SKU-level block","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","14317","PCA_WTC18 - Price Change Activation: Business/E2E Print Labels flow to Label Stock Selection","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","21721","PCA_WTC07 - Price Change Activation: Find validation for empty and not-found input","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","13585","PCA_WTC25 - Price Change Activation: Rapid consecutive Refresh clicks keep page stable","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","12619","PCA_WTC19 - Price Change Activation: No-data messaging across event/batch/item levels","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","11810","PCA_WTC14 - Price Change Activation: POS not responding popup behavior","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","12606","PCA_WTC13 - Price Change Activation: Activation service failure handling","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","9744","PCA_WTC21 - Price Change Activation: Grid has all 10 expected columns including OK, Error, Printed, Received, Start, Time","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","58396","PCA_WTC06 - Price Change Activation: Find success flow for Event, Batch, and SKU","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","54559","PCA_WTC09 - Price Change Activation: Activation blocked for ineligible status or zero counts","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","30196","PCA_WTC11 - Price Change Activation: Business/E2E pending event activation and status transition","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","9624","PCA_WTC01 - Price Change Activation: Load page and validate primary UI controls","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","30689","PCA_WTC24 - Price Change Activation: Activate, Print Wkst, and Print Labels show correct no-selection error messages","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","11497","PCA_WTC05 - Price Change Activation: Find popup search type options by hierarchy level","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","31401","PCA_WTC17 - Price Change Activation: Print Labels validation checks","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","10536","PCA_WTC03 - Price Change Activation: Sort columns and verify value formatting","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
"","13132","PCA_WTC04 - Price Change Activation: Refresh clears selected context and messages","chromium","2026-05-15","passed","2026-05-15","Price Change Activation","","",""
