"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44900","RP_WTC11 - Reprint Existing Reports: select, view, print, and refresh","chromium","2026-05-15","failed","2026-05-15","Reports","","",""
"","16","RP_WTC03 - Inbound Trailer Workload UI (feature pending tech confirmation)","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","18460","RP_WTC10 - Reprint Existing Reports: UI and filter walkthrough","chromium","2026-05-15","failed","2026-05-15","Reports","","",""
"","62584","RP_WTC08 - Purchase Order Activity: PO# validation and report generation","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","12","RP_WTC05 - Inbound Trailer Pool Workload (feature pending tech confirmation)","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","19826","RP_WTC14 - Cross Module Resilience: offline handling and network recovery","chromium","2026-05-15","failed","2026-05-15","Reports","","",""
"","18166","RP_WTC13 - View Existing Report: rendering and viewer behavior","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","44851","RP_WTC02 - Department Class: generate and print report","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","18681","RP_WTC01 - Department Class UI and validation walkthrough","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","31","RP_WTC06 - Manifest Report (feature pending tech confirmation)","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","78956","RP_WTC07 - Open Purchase Orders: date validation and report generation","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","16","RP_WTC04 - Inbound Trailer Workload negative checks (feature pending tech confirmation)","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","90010","RP_WTC15 - Reprint Created chip switches to flat expanded view","chromium","2026-05-15","broken","2026-05-15","Reports","","",""
"","53540","RP_WTC09 - Planogram Profile: DC Area validation and report generation","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
"","17959","RP_WTC12 - Reprint Existing Reports: no-selection validation messages","chromium","2026-05-15","passed","2026-05-15","Reports","","",""
