"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5705","TC-SAI-21 - Grid filter with no-match text shows zero rows","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","1094","TC-SAI-08 - Store Number field only accepts numeric/valid input","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","2158","TC-SAI-18 - Store Number Filter panel collapses and expands correctly","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4319","TC-SAI-05 - Search by State/Province code returns stores in that state","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4060","TC-SAI-02 - Search by Store Number returns matching store record","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4406","TC-SAI-06 - Search with no criteria shows error or no results","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4264","TC-SAI-16 - Pressing Enter in search field triggers the search","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","2731","TC-SAI-19 - Empty search shows specific validation error message","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","3994","TC-SAI-11 - Clicking column header sorts the results grid","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","2747","TC-SAI-01 - Load Store Address Inquiry screen and verify all UI elements","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","3830","TC-SAI-17 - All expected columns are displayed in the results grid","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4854","TC-SAI-12 - Grid pagination controls work correctly","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4317","TC-SAI-04 - Search by Zip Code returns matching stores","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","7281","TC-SAI-14 - Combined multi-field search narrows results accurately","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","5408","TC-SAI-07 - Search with non-existent store number shows no results","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4336","TC-SAI-03 - Search by City returns stores in that city","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","4034","TC-SAI-13 - Row click highlights selected row and double-click is handled","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","6155","TC-SAI-23 - Grid remains stable when sorted by multiple columns (State, Zip, Type, #)","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","8424","TC-SAI-15 - Offline mode is handled gracefully; reconnect allows successful search","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","3794","TC-SAI-22 - Address 2 and Address 3 columns are present in results grid","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","5187","TC-SAI-09 - Clear button resets all search fields and clears results","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","7386","TC-SAI-10 - Grid filter narrows displayed rows","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
"","5447","TC-SAI-20 - Paginator page size options work correctly","chromium","2026-05-15","passed","2026-05-15","Store Address Inquiry","","",""
