"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24866","TC-UM-02 - Filter users by keyword narrows results","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","10441","TC-UM-15 - Update user password with matching passwords succeeds","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","6048","TC-UM-05 - Clicking a user row highlights it","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","9263","TC-UM-03 - Filter with no matching results shows empty state","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","7899","TC-UM-04 - Sort grid columns by clicking headers","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","5053","TC-UM-24 - Offline mode shows appropriate error or empty state","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","24919","TC-UM-01 - Load User Management page and validate all UI elements","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","9595","TC-UM-06 - Pagination: change page size and navigate to next page","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","24832","TC-UM-12 - Close button dismisses Create User modal without creating user","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","24870","TC-UM-09 - Mismatched passwords show exclamation icon and block creation","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","25049","TC-UM-10 - Missing required fields prevent user creation","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","10758","TC-UM-13 - Pressing Enter in username field submits Create User form","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","5709","TC-UM-25 - Delete icon is present in Actions column for each user row","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","8199","TC-UM-19 - Close button dismisses Update User modal without saving","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","9245","TC-UM-20 - Pressing Enter in password field submits Update User form","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","8916","TC-UM-22 - Error banner shows X icon and message on failed operation","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","6526","TC-UM-07 - Clicking person_add icon opens Create User modal with all fields","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","7509","TC-UM-14 - Clicking edit icon opens Update User modal with all fields","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","23062","TC-UM-08 - Create user with all valid fields succeeds","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","9191","TC-UM-18 - Changing user role via New Role dropdown updates successfully","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","24938","TC-UM-11 - Duplicate username shows error and prevents creation","chromium","2026-05-15","failed","2026-05-15","User Management","","",""
"","9552","TC-UM-17 - Toggling Is Locked Out checkbox and saving updates lock status","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","8345","TC-UM-21 - Success banner shows checkmark icon and message after user creation","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","9348","TC-UM-16 - Mismatched passwords in Update User modal block update","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
"","5638","TC-UM-23 - User Management page handles empty user list gracefully","chromium","2026-05-15","passed","2026-05-15","User Management","","",""
